fold_id,model_type,class,f1
intra_loso_session__VP_06__2026-05-04_11-21-18_3rep,lda,Fist,0.010187
intra_loso_session__VP_06__2026-05-04_11-21-18_3rep,lda,Pinch,0.151767
intra_loso_session__VP_06__2026-05-04_11-21-18_3rep,lda,Tripod,0.0
intra_loso_session__VP_06__2026-05-04_11-31-06_3rep,lda,Rest,0.732342
intra_loso_session__VP_06__2026-05-04_11-31-06_3rep,lda,Fist,0.779043
intra_loso_session__VP_06__2026-05-04_11-31-06_3rep,lda,Pinch,0.467725
intra_loso_session__VP_06__2026-05-04_11-31-06_3rep,lda,Tripod,0.775439
intra_loso_session__VP_06__2026-05-04_11-36-55_3rep,lda,Rest,0.682775
intra_loso_session__VP_06__2026-05-04_11-36-55_3rep,lda,Fist,0.63097
intra_loso_session__VP_06__2026-05-04_11-36-55_3rep,lda,Pinch,0.647643
intra_loso_session__VP_06__2026-05-04_11-36-55_3rep,lda,Tripod,0.0
intra_loso_session__VP_06__2026-05-04_11-57-35_3rep,lda,Rest,0.519415
intra_loso_session__VP_06__2026-05-04_11-57-35_3rep,lda,Fist,0.522167
intra_loso_session__VP_06__2026-05-04_11-57-35_3rep,lda,Pinch,0.293003
intra_loso_session__VP_06__2026-05-04_11-57-35_3rep,lda,Tripod,0.543131
intra_loso_session__VP_12__2026-05-04_14-30-45_5rep,lda,Rest,0.437197
intra_loso_session__VP_12__2026-05-04_14-30-45_5rep,lda,Fist,0.851833
intra_loso_session__VP_12__2026-05-04_14-30-45_5rep,lda,Pinch,0.462629
intra_loso_session__VP_12__2026-05-04_14-30-45_5rep,lda,Tripod,0.045702
intra_loso_session__VP_12__2026-05-04_14-45-30_3rep,lda,Rest,0.524272
intra_loso_session__VP_12__2026-05-04_14-45-30_3rep,lda,Fist,0.980132
intra_loso_session__VP_12__2026-05-04_14-45-30_3rep,lda,Pinch,0.541717
intra_loso_session__VP_12__2026-05-04_14-45-30_3rep,lda,Tripod,0.768421
intra_loso_session__VP_12__2026-05-04_14-46-56_3rep,lda,Rest,0.861806
intra_loso_session__VP_12__2026-05-04_14-46-56_3rep,lda,Fist,0.975391
intra_loso_session__VP_12__2026-05-04_14-46-56_3rep,lda,Pinch,0.613402
intra_loso_session__VP_12__2026-05-04_14-46-56_3rep,lda,Tripod,0.802281
intra_loso_session__VP_12__2026-05-04_14-51-35_3rep,lda,Rest,0.696804
intra_loso_session__VP_12__2026-05-04_14-51-35_3rep,lda,Fist,0.951945
intra_loso_session__VP_12__2026-05-04_14-51-35_3rep,lda,Pinch,0.0
intra_loso_session__VP_12__2026-05-04_14-51-35_3rep,lda,Tripod,0.444444
intra_loso_session__VP_12__2026-05-04_14-57-16_3rep,lda,Rest,0.801047
intra_loso_session__VP_12__2026-05-04_14-57-16_3rep,lda,Fist,0.955752
intra_loso_session__VP_12__2026-05-04_14-57-16_3rep,lda,Pinch,0.59375
intra_loso_session__VP_12__2026-05-04_14-57-16_3rep,lda,Tripod,0.408163
intra_loso_session__VP_12__2026-05-04_14-58-52_3rep,lda,Rest,0.8
intra_loso_session__VP_12__2026-05-04_14-58-52_3rep,lda,Fist,0.937931
intra_loso_session__VP_12__2026-05-04_14-58-52_3rep,lda,Pinch,0.191781
intra_loso_session__VP_12__2026-05-04_14-58-52_3rep,lda,Tripod,0.693944
intra_loso_session__VP_12__2026-05-04_15-00-08_3rep,lda,Rest,0.939908
intra_loso_session__VP_12__2026-05-04_15-00-08_3rep,lda,Fist,0.796581
intra_loso_session__VP_12__2026-05-04_15-00-08_3rep,lda,Pinch,0.066116
intra_loso_session__VP_12__2026-05-04_15-00-08_3rep,lda,Tripod,0.623318
intra_loso_session__VP_13__2026-05-06_12-30-00_3rep,lda,Rest,0.867713
intra_loso_session__VP_13__2026-05-06_12-30-00_3rep,lda,Fist,0.740541
intra_loso_session__VP_13__2026-05-06_12-30-00_3rep,lda,Pinch,0.50655
intra_loso_session__VP_13__2026-05-06_12-30-00_3rep,lda,Tripod,0.760714
intra_loso_session__VP_13__2026-05-06_12-36-17_3rep,lda,Rest,0.953008
intra_loso_session__VP_13__2026-05-06_12-36-17_3rep,lda,Fist,0.882507
intra_loso_session__VP_13__2026-05-06_12-36-17_3rep,lda,Pinch,0.676
intra_loso_session__VP_13__2026-05-06_12-36-17_3rep,lda,Tripod,0.501695
intra_loso_session__VP_13__2026-05-06_12-43-14_3rep,lda,Rest,0.889128
intra_loso_session__VP_13__2026-05-06_12-43-14_3rep,lda,Fist,0.933036
