fold_id,model_type,n_train_windows,n_val_windows,n_test_windows,accuracy,macro_f1,val_accuracy,val_macro_f1,train_seconds,inference_ms,fold_seed
intra_loso_session__VP_04__2026-03-27_10-48-46_manual,lda,7961,0,1498,0.6909212283044058,0.2043031977891828,,,0.0663542747497558,0.0015427178152412,376773547
intra_loso_session__VP_06__2026-05-04_11-21-18_3rep,lda,5513,0,2054,0.365141187925998,0.1875858146529386,,,0.0560829639434814,0.0026611413556389,1841673543
intra_loso_session__VP_06__2026-05-04_11-31-06_3rep,lda,5514,0,2053,0.6824159766195811,0.6886371879583181,,,0.0538349151611328,0.0027437298343173,2031432543
intra_loso_session__VP_06__2026-05-04_11-36-55_3rep,lda,6144,0,1423,0.6444132115249473,0.4903467589625337,,,0.0655281543731689,0.0015060749174588,439268309
intra_loso_session__VP_06__2026-05-04_11-57-35_3rep,lda,5530,0,2037,0.4452626411389297,0.4694291053219283,,,0.0492861270904541,0.0012282594840902,1208293712
intra_loso_session__VP_12__2026-05-04_14-30-45_5rep,lda,7914,0,4282,0.5016347501167678,0.4493403373054144,,,0.0778548717498779,0.0012503333984831,2052710791
intra_loso_session__VP_12__2026-05-04_14-45-30_3rep,lda,11057,0,1139,0.6619841966637401,0.7036355992999206,,,0.1036851406097412,0.0027473607117717,1851699213
intra_loso_session__VP_12__2026-05-04_14-46-56_3rep,lda,11056,0,1140,0.8280701754385965,0.8132203101915573,,,0.1037719249725341,0.0021658445659436,1434901923
intra_loso_session__VP_12__2026-05-04_14-51-35_3rep,lda,11057,0,1139,0.6382791922739245,0.5232984723265119,,,0.1084451675415039,0.0013756689217343,1207715756
intra_loso_session__VP_12__2026-05-04_14-57-16_3rep,lda,11057,0,1139,0.7111501316944688,0.6896781495285879,,,0.1145641803741455,0.0039559901022304,2088161813
intra_loso_session__VP_12__2026-05-04_14-58-52_3rep,lda,11057,0,1139,0.7199297629499561,0.655914052479847,,,0.1236979961395263,0.0028149719506214,1718426784
intra_loso_session__VP_12__2026-05-04_15-00-08_3rep,lda,9978,0,2218,0.7858431018935979,0.6064807086969504,,,0.0984640121459961,0.0013544067162667,1688714134
intra_loso_session__VP_13__2026-05-06_12-30-00_3rep,lda,11304,0,1140,0.7482456140350877,0.7188795122699356,,,0.104001760482788,0.0028240053277266,1634242905
intra_loso_session__VP_13__2026-05-06_12-36-17_3rep,lda,10259,0,2185,0.8846681922196796,0.7533022403665934,,,0.0979371070861816,0.0013665694666672,294760903
intra_loso_session__VP_13__2026-05-06_12-43-14_3rep,lda,11301,0,1143,0.8888888888888888,0.890146180922146,,,0.0965361595153808,0.0015316777133357,99923520
intra_loso_session__VP_13__2026-05-06_12-50-29_3rep,lda,11306,0,1138,0.9305799648506152,0.9323292081721154,,,0.0968289375305175,0.0017290584651363,1726682160
intra_loso_session__VP_13__2026-05-06_12-51-44_3rep,lda,11304,0,1140,0.913157894736842,0.9131224556116578,,,0.1103310585021972,0.0027271739223547,741291629
intra_loso_session__VP_13__2026-05-06_12-56-17_3rep,lda,11303,0,1141,0.915863277826468,0.9178256979334796,,,0.1002659797668457,0.0014231980212627,191745202
intra_loso_session__VP_13__2026-05-06_12-57-31_3rep,lda,11305,0,1139,0.8920105355575065,0.8939692505349832,,,0.0941817760467529,0.001522613471804,1978830891
intra_loso_session__VP_13__2026-05-06_13-06-21_3rep,lda,11305,0,1139,0.8999122036874452,0.9016944666856076,,,0.1100606918334961,0.0019456546907366,373034028
intra_loso_session__VP_13__2026-05-06_13-12-22_3rep,lda,11304,0,1140,0.8912280701754386,0.8946646700501326,,,0.1118779182434082,0.0015499299032646,1718124164
intra_loso_session__VP_13__2026-05-06_13-13-37_3rep,lda,11305,0,1139,0.9183494293239683,0.9237978080786712,,,0.100341796875,0.0018788807427705,1993398750
intra_loso_session__VP_14__2026-05-13_15-57-37_5rep,lda,2442,0,3080,0.3574675324675325,0.3388490718122613,,,0.0393908023834228,0.0012020012000938,36161790
intra_loso_session__VP_14__2026-05-13_16-11-51_4rep,lda,3080,0,2442,0.5151515151515151,0.4042040999311712,,,0.0388460159301757,0.0012545776992035,954046294
intra_loso_session__VP_01__2026-02-26_12:30:21_3rep,svm,52524,0,1142,0.8642732049036778,0.8448151604767812,,,28.796963930130005,0.6080095488219253,417011459
intra_loso_session__VP_01__2026-02-26_12:50:17_3rep,svm,52527,0,1139,0.9394205443371378,0.942053060720134,,,28.826642990112305,0.5643212868520521,1866427352
intra_loso_session__VP_01__2026-03-02_10:15:18_3rep,svm,52527,0,1139,0.4995610184372256,0.5217807373826892,,,27.96466302871704,0.6000386506868518,1920095863
intra_loso_session__VP_01__2026-03-02_12:29:32_3rep,svm,52529,0,1137,0.7176781002638523,0.6979904650854211,,,27.96874690055847,0.5673800210944371,955156995
intra_loso_session__VP_01__2026-03-02_12:33:18_3rep,svm,52528,0,1138,0.804920913884007,0.8023867959227645,,,28.38716506958008,0.5987021541763065,1779992683
intra_loso_session__VP_01__2026-03-02_12:35:53_5rep,svm,49377,0,4289,0.4700396362788528,0.3081924658687844,,,25.405762672424316,0.5351962896459557,770855495
intra_loso_session__VP_01__2026-03-03_13:21:53_3rep,svm,52525,0,1141,0.9079754601226994,0.907947115785435,,,27.36075711250305,0.5551218255165896,686228278
intra_loso_session__VP_01__2026-03-03_14:31:55_3rep,svm,52526,0,1140,0.8675438596491228,0.8641195478241769,,,27.635107278823853,0.5468184487861499,1545118993
intra_loso_session__VP_01__2026-03-10_13:44:35_3rep,svm,52527,0,1139,0.7225636523266022,0.7489450099283215,,,53.8634660243988,2.0532218691965696,1061084930
intra_loso_session__VP_01__2026-03-16_11:04:06_3rep,svm,52525,0,1141,0.8150744960560912,0.8308339231246319,,,127.09851598739624,2.705913170924007,2137716427
intra_loso_session__VP_01__2026-03-16_11:11:49_3rep,svm,52528,0,1138,0.953427065026362,0.9525434904930008,,,103.52504086494446,0.5985984483795971,1849866103
intra_loso_session__VP_01__2026-03-20_11:10:16_3rep,svm,52527,0,1139,0.4284460052677787,0.2276772693140704,,,28.705010175704956,0.5998358169703027,177974799
intra_loso_session__VP_01__2026-03-20_12:54:45_10rep,svm,47380,0,6286,0.977728285077951,0.97587170154921,,,30.33331608772278,0.6563983599243747,587915773
intra_loso_session__VP_01__2026-03-20_14:17:17_3rep,svm,52527,0,1139,0.9376646180860404,0.9381615866834878,,,32.753599882125854,0.6406533288997553,1736984880
intra_loso_session__VP_01__2026-03-20_14:18:36_3rep,svm,52527,0,1139,0.8999122036874452,0.898096197048535,,,29.013511896133423,0.6124380913819002,2020201467
intra_loso_session__VP_01__2026-03-20_14:20:18_3rep,svm,52525,0,1141,0.943908851884312,0.9427178990081118,,,28.89623117446899,0.6071534938294045,1025655229
intra_loso_session__VP_01__2026-03-24_08-57-34_3rep,svm,52528,0,1138,0.9437609841827768,0.9404196739084678,,,28.76789712905884,0.6157065527300843,385644184
intra_loso_session__VP_01__2026-03-24_09-35-44_3rep,svm,52526,0,1140,0.7956140350877193,0.7936364699059771,,,28.156831979751587,0.6012780624523497,154742363
intra_loso_session__VP_01__2026-03-25_10-21-07_5rep,svm,49382,0,4284,0.4049953314659197,0.2959029459546023,,,28.077619075775143,0.6076951765991838,124631652
intra_loso_session__VP_01__2026-03-25_13-36-55_3rep,svm,52527,0,1139,0.884108867427568,0.8637919003193602,,,28.68055009841919,0.6138384603847005,956805748
intra_loso_session__VP_01__2026-03-25_13-55-45_3rep,svm,52526,0,1140,0.9675438596491228,0.9662895999120902,,,27.600898027420044,0.6119278439304285,1737461859
intra_loso_session__VP_01__2026-03-26_12-38-48_3rep,svm,52526,0,1140,0.637719298245614,0.4976959295372044,,,27.25316309928894,0.5923825397826078,1728780233
