subject_id,session_id,path,n_frames,duration_s,rms_max,rms_p50,rms_p95,profile_threshold,optimal_threshold,asrec_accuracy,asrec_precision,asrec_recall,asrec_f1,asrec_pos_rate,asrec_pos_rate_truth,profile_accuracy,profile_precision,profile_recall,profile_f1,opt_accuracy,opt_precision,opt_recall,opt_f1,auc,asrec_tp,asrec_fp,asrec_fn,asrec_tn,profile_tp,profile_fp,profile_fn,profile_tn,opt_tp,opt_fp,opt_fn,opt_tn,suspect_threshold,excluded,exclude_reason,notes,group,group_label
Kinderuni,emg_2026-03-30_15-20-17,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/Kinderuni/RecordedData/emg/emg_2026-03-30_15-20-17.csv,147546,73.771077,0.009225,0.000122,0.000644,0.000200,0.000087,0.680249,0.000000,0.000000,0.000000,0.006100,0.313651,0.653776,0.441729,0.393621,0.416290,0.517994,0.375631,0.810580,0.513364,0.637853,0,900,46278,100368,18216,23022,28062,78246,37512,62352,8766,38916,False,False,,profile history @ 2026-03-30 15:19:59 [0.2 mV → 0.0002 V],?,unknown
Kinderuni,emg_2026-03-30_15-22-26,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/Kinderuni/RecordedData/emg/emg_2026-03-30_15-22-26.csv,121842,60.921066,0.000912,0.000047,0.000241,0.000100,0.000111,0.850643,0.000000,0.000000,0.000000,0.000000,0.149357,0.776333,0.366295,0.681503,0.476487,0.798198,0.392749,0.642928,0.487622,0.799496,0,0,18198,103644,12402,21456,5796,82188,11700,18090,6498,85554,False,False,,profile history @ 2026-03-30 15:22:14 [0.1 mV → 0.0001 V],?,unknown
VP_01,emg_2026-01-30_12-08-52,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/VP_01/RecordedData/emg/emg_2026-01-30_12-08-52.csv,471366,235.679473,0.001414,0.000026,0.000068,0.000000,0.000027,0.755107,0.000000,0.000000,0.000000,0.000000,0.244893,0.244893,0.244893,1.000000,0.393436,0.630122,0.361137,0.663652,0.467744,0.686087,0,0,115434,355932,115434,355932,0,0,76608,135522,38826,220410,False,False,,profile history @ 2026-01-30 12:06:07 [0 mV → 0 V],H,healthy
VP_01,emg_2026-01-30_12-13-35,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/VP_01/RecordedData/emg/emg_2026-01-30_12-13-35.csv,339534,169.764318,0.002891,0.000019,0.000095,0.000000,0.000022,0.746647,0.000000,0.000000,0.000000,0.000000,0.253353,0.253353,0.253353,1.000000,0.404281,0.705985,0.451065,0.739694,0.560399,0.725998,0,0,86022,253512,86022,253512,0,0,63630,77436,22392,176076,False,False,,profile history @ 2026-01-30 12:06:07 [0 mV → 0 V],H,healthy
VP_01,emg_2026-02-01_10-09-23,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/VP_01/RecordedData/emg/emg_2026-02-01_10-09-23.csv,323532,161.765864,0.006152,0.000014,0.000073,0.000000,0.000013,0.629854,0.000000,0.000000,0.000000,0.000000,0.370146,0.370146,0.370146,1.000000,0.540301,0.714421,0.583774,0.796032,0.673577,0.741781,0,0,119754,203778,119754,203778,0,0,95328,67968,24426,135810,False,False,,profile history @ 2026-02-01 10:08:52 [0 mV → 0 V],H,healthy
VP_01,emg_2026-02-01_10-15-19,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/VP_01/RecordedData/emg/emg_2026-02-01_10-15-19.csv,327960,163.979253,0.000781,0.000018,0.000056,0.000000,0.000018,0.794182,0.000000,0.000000,0.000000,0.000000,0.205818,0.205818,0.205818,1.000000,0.341375,0.585016,0.290351,0.703733,0.411091,0.645204,0,0,67500,260460,67500,260460,0,0,47502,116100,19998,144360,False,False,,profile history @ 2026-02-01 10:15:13 [0 mV → 0 V],H,healthy
VP_01,emg_2026-02-01_10-29-40,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/VP_01/RecordedData/emg/emg_2026-02-01_10-29-40.csv,401418,200.708941,0.003877,0.000018,0.000068,0.000000,0.000007,0.448993,0.000000,0.000000,0.000000,0.000000,0.551007,0.551007,0.551007,1.000000,0.710515,0.635577,0.611406,0.929199,0.737525,0.670245,0,0,221184,180234,221184,180234,0,0,205524,130626,15660,49608,False,False,,profile history @ 2026-02-01 10:29:30 [0 mV → 0 V],H,healthy
VP_01,emg_2026-02-01_10-52-17,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/VP_01/RecordedData/emg/emg_2026-02-01_10-52-17.csv,275886,137.943080,0.003901,0.000013,0.001040,0.000000,0.000015,0.664970,0.000000,0.000000,0.000000,0.000000,0.335030,0.335030,0.335030,1.000000,0.501906,0.736152,0.586684,0.718987,0.646132,0.774252,0,0,92430,183456,92430,183456,0,0,66456,46818,25974,136638,False,False,,profile history @ 2026-02-01 10:50:54 [0 mV → 0 V],H,healthy
VP_03,emg_2026-02-16_12-18-25,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/VP_03/RecordedData/emg/emg_2026-02-16_12-18-25.csv,416808,208.403830,0.005414,0.000038,0.000219,0.000050,0.000010,0.372603,0.000000,0.000000,0.000000,0.000000,0.627397,0.625928,0.825094,0.512390,0.632187,0.672266,0.675042,0.920980,0.779062,0.739130,0,0,261504,155304,133992,28404,127512,126900,240840,115938,20664,39366,False,False,,profile history @ 2026-02-16 12:18:02 [0.05 mV → 5e-05 V],I,impaired
VP_04,emg_2026-03-26_14-24-15_normal,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/VP_04/RecordedData/emg/emg_2026-03-26_14-24-15_normal.csv,172422,86.209121,0.003864,0.000011,0.001224,0.000500,0.000003,0.518321,0.000000,0.000000,0.000000,0.000000,0.481679,0.532206,0.587847,0.096446,0.165705,0.471344,0.475602,0.950585,0.633998,0.591129,0,0,83052,89370,8010,5616,75042,83754,78948,87048,4104,2322,False,False,,profile history @ 2026-03-26 14:23:38 [0.5 mV → 0.0005 V],I,impaired
