type,subject_id,session_id,auto_status,review_status,comment,n_trials,n_valid,n_invalid,duration_s,sampling_rate,num_channels,bad_channels,signal_rms,frac_zeros,frac_saturated,model_val_acc,rotation_confidence,issues,warnings,path
game,VP_02,game_2026-05-06_10-48-26,WARN,VALID,,,,,125.71,2000,32,,0.00488,0.266,0.0,0.9692982456140351,0.3544,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_02/game_2026-05-06_10-48-26
game,VP_02,game_2026-05-06_11-05-29,WARN,VALID,,,,,126.66,2000,32,,0.00723,0.258,0.0,0.9780701754385965,0.3358,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_02/game_2026-05-06_11-05-29
game,VP_02,game_2026-05-06_11-14-31,WARN,VALID,,,,,119.43,2000,32,,0.00571,0.259,0.0,0.9429824561403509,0.3505,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_02/game_2026-05-06_11-14-31
game,VP_04,game_2026-03-25_14-54-26,WARN,VALID,,,,,145.51,2000,32,,0.03278,0.003,0.0,0.7887563884156729,0.3569,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_04/game_2026-03-25_14-54-26
game,VP_04,game_2026-03-25_14-58-00,WARN,INVALID,,,,,30.27,2000,32,,0.10534,0.001,0.0,0.7887563884156729,0.3569,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_04/game_2026-03-25_14-58-00
game,VP_06,game_2026-05-04_11-26-08,WARN,INVALID,,,,,69.34,2000,32,,0.01597,0.502,0.0,0.948905109489051,0.2936,,Low rotation confidence: 0.294 | Ground truth never active in sampled rows (first 300) | Low average model confidence: 0.00 | 50% of sampled EMG values are zero,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_06/game_2026-05-04_11-26-08
game,VP_06,game_2026-05-04_11-29-12,WARN,VALID,,,,,93.06,2000,32,,0.0183,0.378,0.0,0.9537712895377128,,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_06/game_2026-05-04_11-29-12
game,VP_06,game_2026-05-04_11-47-33,WARN,VALID,,,,,170.99,2000,32,,0.01848,0.254,0.0,0.9438596491228071,,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_06/game_2026-05-04_11-47-33
game,VP_06,game_2026-05-04_11-50-57,WARN,VALID,,,,,136.05,2000,32,,0.31025,0.253,0.0,0.9438596491228071,,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_06/game_2026-05-04_11-50-57
game,VP_06,game_2026-05-04_12-06-37,WARN,VALID,,,,,146.24,2000,32,,0.60974,0.25,0.0,0.9319682959048877,,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_06/game_2026-05-04_12-06-37
game,VP_06,game_2026-05-04_12-10-07,WARN,VALID,,,,,124.26,2000,32,,0.05429,0.252,0.0,0.9319682959048877,,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_06/game_2026-05-04_12-10-07
game,VP_12,game_2026-05-04_14-42-31,WARN,VALID,,,,,120.21,2000,32,,0.14935,0.253,0.0,0.9719953325554259,0.333,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_12/game_2026-05-04_14-42-31
game,VP_12,game_2026-05-04_14-54-36,WARN,VALID,,,,,130.13,2000,32,,0.04376,0.378,0.0,0.9912280701754386,0.3718,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_12/game_2026-05-04_14-54-36
game,VP_13,game_2026-05-06_12-33-25,WARN,VALID,,,,,122.11,2000,32,,0.00552,0.26,0.0,0.9342105263157895,0.3275,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_13/game_2026-05-06_12-33-25
game,VP_13,game_2026-05-06_12-47-17,WARN,VALID,,,,,125.19,2000,32,,0.0052,0.257,0.0,0.982532751091703,0.3265,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_13/game_2026-05-06_12-47-17
game,VP_13,game_2026-05-06_12-53-45,WARN,VALID,,,,,115.06,2000,32,,0.00473,0.263,0.0,0.9342105263157895,0.3103,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_13/game_2026-05-06_12-53-45
game,VP_13,game_2026-05-06_12-59-33,WARN,VALID,,,,,119.89,2000,32,,0.00448,0.265,0.0,0.9517543859649122,0.3256,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_13/game_2026-05-06_12-59-33
game,VP_13,game_2026-05-06_13-10-25,WARN,VALID,,,,,104.45,2000,32,,0.0048,0.26,0.0,0.9350713231677324,0.327,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_13/game_2026-05-06_13-10-25
game,VP_14,game_2026-05-13_16-06-51,WARN,VALID,,,,,140.55,2000,32,,0.21511,0.008,0.0,0.9155844155844156,0.362,,Ground truth never active in sampled rows (first 300),/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/game_recordings/VP_14/game_2026-05-13_16-06-51
